Postcode,Eastings,Northings
EC1A4HU,532118,181647
EC1A7AB,532008,181777
EC1A7BB,532022,181628
EC1A7BD,532023,181707
EC1A7BF,531998,181655
EC1A7BR,531941,181645
EC1A7BT,532044,181488
EC1A7ES,532051,181664
EC1A7JQ,531940,181734
EC1A9JR,531792,181659
EC1A9LS,531738,181564
EC1N2JT,531235,181526
EC1Y0RJ,532249,182068
EC1Y0SN,532096,182112
EC1Y0SQ,532140,182080
EC2M4NR,533334,181640
EC2Y5AG,532414,181661
EC2Y8AF,532131,181987
EC2Y8BD,532402,181753
EC2Y8BL,532540,181716
EC2Y8BP,532243,181682
EC2Y8BU,532200,181730
EC2Y8BX,532160,181770
EC2Y8DH,532153,181944
EC2Y8DJ,532125,181911
EC2Y8DN,532248,181830
EC2Y8DY,532216,182010
EC2Y8HD,532356,181899
EC2Y8NE,532125,181911
EC2Y8NJ,532271,181868
EC2Y8NQ,532330,181940
EC2Y9AP,532603,181839
EC3N2NU,533515,180872
EC3R6AP,533288,180580
EC4A1BY,531250,181220
EC4A1JQ,531212,181510
EC4A2EJ,531302,181218
EC4V3PA,532179,180790
EC4V5EG,531773,181097
EC4V6DX,531749,181078
EC4V6EP,531717,181067
IG110AB,547505,182793
IG110BN,545141,183070
IG110FQ,546067,182453
IG110FT,546026,182593
IG110GH,546648,182503
IG110GJ,546529,182516
IG110GN,546625,182555
IG110GR,546584,182741
IG110GS,546569,182687
IG110GU,546414,182534
IG110HA,546482,182498
IG110LA,545798,182966
IG110LB,545839,183079
IG110LE,545698,183004
IG110LF,545685,183073
IG110LH,546395,183065
IG110LJ,546486,183027
IG110LQ,546296,183100
IG110LR,546585,182949
IG110NG,545703,183137
IG110NL,545767,183386
IG110NP,545580,183271
IG110NW,545566,183321
IG110NX,545987,183170
IG110PG,546239,183297
IG110PQ,546096,183318
IG110PY,546661,183192
IG110RD,546384,183273
IG110TE,545971,182390
IG110TF,545929,182462
IG110TY,547889,183516
IG110WW,546269,182223
IG110WZ,546269,182223
IG110XJ,547061,182929
IG110XL,547023,182872
IG110XW,547090,183113
IG110YG,547336,182720
IG110YJ,547105,182103
IG110YW,547105,182103
IG117AB,544414,183631
IG117AF,544344,183793
IG117BE,543978,183607
IG117BX,544058,183578
IG117DW,544859,183681
IG117FY,544609,183737
IG117GN,544135,183278
IG117GP,544144,183336
IG117GT,544365,184018
IG117GW,544072,183608
IG117JS,544314,183333
IG117LR,544175,183531
IG117PL,544708,183821
IG117PS,544315,184038
IG117QB,544807,183937
IG117QL,544934,183992
IG117QN,544892,183993
IG117QP,544994,184005
IG117QY,545200,183816
IG117QZ,545335,183784
IG117RD,545221,184072
IG117RF,545220,183974
IG117RY,544542,183710
IG117RZ,544535,183686
IG117TN,544756,183570
IG117TX,544940,183372
IG117TZ,544928,183499
IG117UH,545033,183696
IG117UQ,545154,183568
IG117XA,544614,183993
IG117XF,545060,183722
IG117XL,545273,183523
IG117XN,545362,183389
IG117XQ,545176,183638
IG117XS,545428,183539
IG117XT,545547,183515
IG117XW,545610,183475
IG117YE,545370,183558
IG118BQ,544080,184295
IG118JX,543746,184628
IG118JZ,543650,184726
IG118LB,543720,184695
IG118LD,543833,184676
IG118LE,543909,184597
IG118LG,543865,184437
IG118NA,543811,184508
IG118NB,543799,184543
IG118NE,543892,184507
IG118NW,544292,184358
IG118NZ,544352,184314
IG118PG,544180,184606
IG118PQ,544154,184739
IG118PX,543956,184729
IG118PY,544039,184821
IG118PZ,543875,184761
IG118QP,544416,184610
IG118QU,544581,184705
IG118QZ,544366,184748
IG118RF,544326,184694
IG118RH,544236,184811
IG118RR,544525,184381
IG118SD,544011,184687
IG118UP,545247,185010
IG119AB,545686,184632
IG119AH,545928,185214
IG119AR,546132,185171
IG119AS,546100,185307
IG119AU,546277,185193
IG119AX,546220,185378
IG119BH,545733,184522
IG119BP,546154,184903
IG119BS,546170,185195
IG119BT,546202,185193
IG119DS,545579,185081
IG119DX,545760,185281
IG119DY,545869,185380
IG119DZ,545999,185440
IG119EH,545620,185265
IG119EN,546299,185534
IG119EQ,546229,185574
IG119HA,545824,184925
IG119HD,545707,184825
IG119HF,545777,185179
IG119HR,545694,184586
IG119JH,546055,184433
IG119JU,545912,183921
IG119LD,545463,184745
IG119LR,545422,184734
IG119LW,545330,184947
IG119NH,546204,184210
IG119NJ,546188,184162
IG119NQ,546157,184224
IG119NR,546470,184302
IG119NW,546286,184258
IG119NX,546398,184084
IG119PB,545543,184376
IG119PJ,545678,184436
IG119PR,545461,184045
IG119QB,545836,184209
IG119QZ,545808,183983
IG119RH,545358,184064
IG119RJ,545389,184098
IG119RX,545694,183886
IG119SA,545878,183878
IG119SD,545791,183671
IG119TH,544787,184433
IG119TR,545021,184382
IG119TT,545255,184287
IG119UB,545277,184256
IG119UT,545275,184588
IG119UU,545304,184524
IG119UW,545040,184695
IG119UX,545093,184746
IG119XA,545308,184618
IG119XE,544955,184194
IG119XF,545106,184198
IG119XN,544739,184269
IG119XP,544900,184263
IG119XR,544986,184243
IG119XS,545096,184277
IG119XT,545214,184386
IG119XW,544809,184215
IG119YB,545197,184827
RM107AA,550406,186148
RM107AB,550401,186297
RM107AE,549253,186833
RM107AN,549368,185792
RM107AS,550235,186288
RM107AW,549207,185781
RM107BB,550431,186415
RM107BG,549658,185848
RM107BH,550492,186246
RM107BT,550197,186144
RM107DA,549973,186111
RM107DJ,549992,186046
RM107DL,550013,186008
RM107ED,549798,186078
RM107EJ,549844,186256
RM107FB,549744,186184
RM107FF,549739,186118
RM107FG,549718,186121
RM107HH,549660,186393
RM107HJ,549654,186362
RM107HL,549540,186329
RM107HR,549612,186216
RM107HT,549595,185946
RM107JL,549403,185883
RM107JP,549316,186005
RM107JR,549280,186148
RM107JU,549234,186092
RM107JX,549214,185995
RM107LB,549262,185870
RM107LL,549180,186428
RM107LR,549088,186534
RM107LT,549181,186491
RM107LX,549237,186311
RM107ND,549219,186235
RM107NJ,549803,185885
RM107NL,549748,185888
RM107NN,549751,185950
RM107NS,549377,185998
RM107NT,549451,185954
RM107NU,549442,186099
RM107QU,549163,186605
RM107QX,549147,186661
RM107RE,549050,186118
RM107SA,549054,186300
RM107ST,549072,185764
RM107TB,550273,185507
RM107TD,550178,185497
RM107TP,550332,185420
RM107UU,549991,185737
RM107XL,550014,185380
RM107XP,550079,185447
RM107XR,549992,185442
RM107XT,549996,185822
RM107YH,549497,185998
RM107YJ,549542,186158
RM107YR,549543,185792
RM108AY,549212,185632
RM108AZ,549241,185627
RM108BB,550671,184546
RM108BE,550788,184567
RM108BG,549362,185638
RM108BH,550896,184589
RM108BN,549293,185473
RM108BT,550900,184823
RM108BU,551030,184823
RM108DA,550997,184745
RM108DD,549081,185380
RM108DE,549597,185359
RM108DF,549234,185372
RM108DX,549556,184909
RM108ED,549742,185015
RM108EP,550087,185183
RM108ER,550104,185259
RM108ES,550009,185339
RM108ET,549870,185324
RM108EU,550009,185244
RM108EX,549944,185221
RM108GX,549358,184786
RM108GY,549311,184777
RM108HA,549872,185208
RM108HU,549490,185592
RM108JD,549578,185093
RM108JP,549416,185121
RM108JT,549380,185282
RM108JU,549249,185271
RM108LD,549347,184933
RM108LH,549432,185579
RM108NB,549382,185037
RM108ND,549494,185057
RM108NR,549218,185189
RM108NT,549182,185306
RM108NX,549171,185114
RM108PB,549190,184934
RM108PH,549280,184927
RM108PT,549154,185684
RM108QA,549165,185521
RM108QJ,549009,185666
RM108RQ,549122,184697
RM108RX,549585,184692
RM108SA,549605,184629
RM108SE,550142,184924
RM108SH,549663,184761
RM108SN,549442,184736
RM108SP,549391,184695
RM108SR,549275,184677
RM108TD,549726,184657
RM108TZ,549825,184794
RM108UA,550026,184647
RM108UD,550495,184925
RM108UH,550679,184908
RM108UJ,550805,184876
RM108UL,550949,184907
RM108UT,550517,184831
RM108XD,550163,184763
RM108XR,550681,184349
RM108XX,549980,185099
RM108YD,550131,185065
RM108YS,550294,184653
RM109AB,549602,183582
RM109AJ,549818,183858
RM109AU,549887,183309
RM109BA,549833,183532
RM109BD,550042,183352
RM109BE,549835,183562
RM109BJ,549858,183609
RM109BL,550079,183390
RM109DG,549537,183447
RM109DH,549554,183587
RM109DT,549943,183307
RM109DX,549810,183492
RM109EA,549969,183317
RM109EB,550076,183182
RM109ER,549826,183737
RM109HB,549376,184141
RM109HL,549188,184341
RM109HP,549302,184154
RM109HX,549307,183960
RM109JD,549310,183865
RM109JL,549186,183923
RM109JR,549341,184300
RM109ND,550010,183158
RM109NX,549101,184116
RM109PH,549243,184143
RM109PT,549436,183833
RM109PU,549603,183834
RM109PX,549444,183803
RM109QB,549421,183920
RM109QT,549232,184502
RM109RB,549324,184478
RM109RJ,549333,184539
RM109SL,549641,184427
RM109SS,549777,184418
RM109TB,549944,184437
RM109TD,549874,184424
RM109UB,550190,184651
RM109UR,549926,184525
RM109XA,549851,184485
RM109XU,550455,184275
RM109YB,550619,184218
RM109YH,550623,184075
RM109YX,550093,184482
RM65AN,548407,189526
RM65BL,547678,189234
RM65BP,547779,189202
RM65EH,547484,189531
RM65EJ,547556,189333
RM65ES,547784,189268
RM65HB,547836,189494
RM65JH,547719,189462
RM65JT,548217,189279
RM65JU,548235,189329
RM65LA,548346,189346
RM65LB,548442,189321
RM65LH,548272,189438
RM65NA,547928,189639
RM65PD,547540,189569
RM65PX,548068,189911
RM65QD,548259,189924
RM65QH,548336,189957
RM65QT,548520,190180
RM65RD,548424,190197
RM65SA,548207,189046
RM65SB,547971,189053
RM65TH,547885,188908
RM65UB,547876,188697
RM65UE,548006,188808
RM66AA,548997,188132
RM66AH,548941,188180
RM66AJ,548831,188156
RM66BB,548898,188349
RM66BJ,548825,188313
RM66BL,548753,188392
RM66BS,548761,188264
RM66DB,548626,188421
RM66DD,548684,188265
RM66DJ,548706,188173
RM66DL,548175,188077
RM66DT,548714,187933
RM66DU,548863,188046
RM66DX,548859,188087
RM66ED,548397,187934
RM66EL,548396,187777
RM66EU,548512,187883
RM66HH,548624,187986
RM66JL,547838,187840
RM66LH,548153,187728
RM66NP,548234,188122
RM66PN,548335,188051
RM66RJ,548516,188251
RM66RU,548310,188439
RM66SH,548329,188745
RM66SJ,548174,188717
RM66SL,548162,188789
RM66SS,548298,188855
RM66SU,548174,188834
RM66SX,548149,188916
RM66TA,548130,189007
RM66TB,548200,189005
RM66TH,548355,188948
RM66UT,548285,188335
RM66UX,548258,188542
RM66XB,548287,188533
RM66XH,548223,188496
RM66XJ,548175,188432
RM66XL,548071,188461
RM66XP,548159,188529
RM66YD,548079,188392
RM66YS,548089,188768
RM66YT,548097,188914
RM70RJ,551043,187333
RM70RT,551273,187188
RM70RU,551280,187120
RM70SA,551372,187116
RM70SB,551239,186978
RM70SH,551177,186996
RM70SJ,551010,187052
RM70SL,551220,187207
RM70SP,551182,187196
RM70SR,551091,187222
RM70TJ,550899,187315
RM70TL,550934,187248
RM70TU,550620,186973
RM70UD,550615,187121
RM70UH,550514,187101
RM70UP,550464,187231
RM70UX,550698,187203
RM70WX,550992,186817
RM70WY,550943,186823
RM70WZ,551073,186838
